"","recording","Source","Year","Date","Subpopulation..if.specified.","Province.State","Latitude","Longitude","Introductory.Notes..if.noted.","Terminal.Strophe.type","Recordist","file.name","max_min_ratio","log_max_min_ratio","min_max_ratio","note_number","mid_to_long_ratio","max_mean_int","min_mean_int","med_note_durs","long_note_durs","short_note_durs","max_note_dur","max_onset_interval_dur","max_mean_dur","min_mean_dur","min_max_dur_ratio","remainder","PC1","PC2","PC3","PC4","poetry","prob_assignment"
"12","ML106300881","Macaulay Library",2018,"6/25/18","Caribou","British Columbia",51.9814,-122.6151,"Descending","Doublet","John Woods","ML106300881_terminal_strophes_retrim2024.wav",2.96666666666667,1.08743898806998,0.337078651685393,5,0.667630057803468,0.36046802662037,0.121506076388889,0.187119357638889,0.280274016203704,0.18630931712963,0.302955150462963,0.372618634259259,0.292694637345679,0.0745237268518519,0.254612546125461,2,3.47045217466852,2.16809085948264,-0.127884172953876,-0.359903257102633,2,0.999965463985946
"13","ML106441141","Macaulay Library",2018,"6/25/18","Penobscot","Maine",44.8674,-68.727,"Descending","Triplet","Louise Venne","ML106441141_terminal_strophes.wav",1.11845730027548,0.111950325336882,0.894088669950739,6,0.757085020242915,0.219378121098627,0.196143492509363,0.151565426029962,0.200196044007491,0.0534936797752809,0.215595739700375,0.301509831460674,0.139407771535581,0.130762328339576,0.937984496124031,0,0.347113734728251,0.242259822786584,-1.06426459420654,-0.096440619080068,1,0.772809304283967
"14","ML106497711","Macaulay Library",2018,"7/4/18","Whitehorse","Yukon",60.7342,-135.0666,"Ascending","Doublet","Cameron Eckert","ML106497711_terminal_strophes.wav",1.23529411764706,0.211309093667207,0.809523809523809,8,0.654320987654321,0.170103908188586,0.137703163771712,0.0572413151364764,0.0874820099255583,0.0413109491315137,0.131223014888337,0.183064205955335,0.0765467586848635,0.0526512096774194,0.687830687830688,2,-1.97628669248231,0.760946865905368,0.765978339143838,0.253108321158622,3,0.916696594535608
"15","ML106877561","Macaulay Library",2018,"6/28/18","Vilas","Wisconsin",45.9912,-89.4603,"Ascending","Doublet","Brian Collins","ML106877561_terminal_strophes_retrim2024.wav",1.27710843373494,0.244598486315469,0.783018867924529,6,0.623188405797102,0.172826086956522,0.135326086956522,0.0701086956521739,0.1125,0.0383152173913044,0.12554347826087,0.176086956521739,0.075,0.0722826086956522,0.96376811594203,0,-2.11556136198454,0.969318637157083,0.939694356740898,0.199139390365627,3,0.945405982786721
"16","ML106961551","Macaulay Library",2018,"7/9/18","Middlesex","Ontario",42.972,-81.3248,"Ascending","Doublet","Laure Neish","ML106961551_terminal_strophes.wav",1.88325991189427,0.633004270895413,0.530994152046783,6,0.966666666666667,0.231604313380282,0.12298053599374,0.0942670187793428,0.0975176056338028,0.0893911384976526,0.149526995305164,0.234042253521127,0.144651115023474,0.0427993935837246,0.295880149812734,0,0.218663351864979,-0.553835769874857,1.83129560028063,0.45768082193426,2,0.999924371878861
"17","ML107292","Macaulay Library",2000,"26/03/2000","","Maryland",39.1667,-77.2083,"Ascending","Triplet","Wilbur Hershberger","ML107292_terminal_strophes.wav",1.07107843137255,0.0686660206914284,0.933638443935927,9,0.658333333333333,0.176763719512195,0.165033404029693,0.0852133262636974,0.129437963944857,0.0679549310710498,0.140763785790032,0.254022004241782,0.0961076882290562,0.0918200556733828,0.955387205387205,0,-1.36410891162446,0.351607073512739,-0.324863973948821,-0.585408681054218,3,0.86263941645524
"18","ML107795761","Macaulay Library",2018,"6/18/18","Hancock","Maine",44.3443,-68.0561,"Descending","Triplet","Laura Gooch","ML107795761_terminal_strophes.wav",1.09208819714656,0.0880916406789976,0.915676959619952,6,0.848484848484848,0.227321205357143,0.208152790178571,0.181425,0.213822321428571,0.059125111607143,0.225161383928571,0.296435491071429,0.156047098214286,0.146867857142857,0.941176470588236,0,0.527794055729218,-0.235697757617214,-1.09555468028414,0.319513321602253,1,0.989662959747209
"19","ML108297581","Macaulay Library",2018,"6/15/18","Hancock","Maine",44.364,-68.0389,"Descending","Triplet","David Kazdan","ML108297581_terminal_strophes.wav",1.32244897959184,0.279485305247603,0.756172839506173,5,0.953191489361702,0.26346412386707,0.199224414652568,0.182148036253776,0.191092805891239,0.0561081004531722,0.196784932024169,0.27484837613293,0.143116314199396,0.123600453172205,0.863636363636363,2,0.598844330209363,-0.67913018206317,0.132253791186726,0.488712188427122,1,0.999943136669345
"20","ML117995","Macaulay Library",2004,"6/6/04","","New York",44.2033,-74.6619,"Ascending","Triplet","Benjamin Clock","ML117995_terminal_strophes.wav",1.04470588235294,0.0437353935078077,0.957207207207207,9,0.847908745247148,0.179470982142857,0.171790917591699,0.120186273326898,0.141744349259974,0.0716806024774775,0.151984435328185,0.271631756756757,0.11641361003861,0.10469140625,0.899305555555556,0,-0.701746240552043,-0.753663063971878,-0.407070938501012,-0.228469377823199,1,0.988645188320739
"21","ML120334251","Macaulay Library",2018,"5/29/18","Sept-Rivières","Quebec",50.3225,-66.7726,"Ascending","Triplet","Jocelyn Lauzon","WTSP75.wav",1.19672131147541,0.17958557697508,0.835616438356164,6,0.99601593625498,0.236320984162896,0.197473699095023,0.202329609728507,0.203138928167421,0.0501777432126697,0.207185520361991,0.296210548642534,0.154310049019608,0.149454138386124,0.968531468531468,0,0.84195524850584,-1.06342054936879,-0.393122203509917,0.439919669556461,1,0.999999548545963
