Newly assigned number,Position on other spreadsheet,Source,WTSP_updated,Recording ID (if noted),Year,Date,Subpopulation (if specified),Province/State,Latitude,Longitude,Introductory Notes (if noted),Terminal Strophe type,Recordist,,Begin time,Name_for_scoring
,,Lab,WTSP61,Zonotrichia.albicollis_Apr42021_1334EDelmarStSpringfield_JPM_a,2021,4/4/21,,Missouri,37.195107,-93.272573,,,JPM,,,
,,Lab,WTSP32,Zonotrichia.albicollis_Apr42021_811SPickwickAveSpringfield_JPM_a,2021,4/4/21,,Missouri,37.199777,-93.270495,,,JPM,,,
,,Lab,WTSP46,Zonotrichia.albicollis_Apr42021_1471EMeadowmereStSpringfield_JPM_a,2021,4/4/21,,Missouri,37.190937,-93.268463,,,JPM,,,
,,Lab,WTSP71,Zonotrichia.albicollis_Apr52021_CommunityGardenSpringfield_ARP_a,2021,4/5/21,,Missouri,37.189675,-93.281487,,,ARP,,,
,,Lab,WTSP55,Zonotrichia.albicollis_Apr42021_Delaware-FairwayAlleySpringfield_JPM_a,2021,4/4/21,,Missouri,37.198151,-93.266132,,,JPM,,,
,,Lab,WTSP83,Zonotrichia.albicollis_Apr42021_848SDelawareAveSpringfield_JPM_a,2021,4/4/21,,Missouri,37.198641,-93.266678,,,JPM,,,
,,Lab,WTSP54,Zonotrichia.albicollis_Apr112021_BennettSpringStateParkLebanon_SG_c,2021,4/11/21,,Missouri,37.7,-92.8,,,SG,,,
,,Lab,WTSP50,Zonotrichia.albicolis_Apr42021_1337EDelmarStSpringfield_JPM_a,2021,4/4/21,,Missouri,37.195358,-93.272429,,,JPM,,,
,,Lab,WTSP68,Zonotrichia.albicollis_Apr192021_StCharles_SG_e,2021,4/19/21,,Missouri,38.8,-90.5,,,SG,,,
,,Lab,WTSP40,Zonotrichia.albicollis_Apr42021_833SFremontAveSpringfield_JPM_a,2021,4/4/21,,Missouri,37.199191,-93.271313,,,JPM,,,
